Name,Solvent,n,n25,a,b,g,e,f,y
N-methylaniline ,CNc1ccccc1,1.5684,1.5681,0.17,0.43,53.11,5.96,0.75,0
methylcyclohexane ,CC1CCCCC1,1.4231,1.4206,0,0,33.52,2.024,0,0
N-methylformamide (E/Z mixture) ,CNC=O,1.4319,1.431,0.4,0.55,55.44,181.56,0,0
nitrobenzene ,c1ccc(cc1)[N+](=O)[O-],1.5562,1.503,0,0.28,57.54,34.809,0.667,0
nitroethane ,CC[N+](=O)[O-],1.3917,1.3897,0.02,0.33,46.25,28.29,0,0
nitromethane ,C[N+](=O)[O-],1.3817,1.3796,0.06,0.31,52.58,36.562,0,0
o-nitrotoluene ,Cc1ccccc1[N+](=O)[O-],1.545,1.5474,0,0.27,59.12,25.669,0.6,0
n-nonane ,CCCCCCCCC,1.4054,1.4031,0,0,32.21,1.9605,0,0
n-octane ,CCCCCCCC,1.3974,1.3953,0,0,30.43,1.9406,0,0
n-pentadecane ,CCCCCCCCCCCCCCC,1.4315,1.4298,0,0,38.34,2.0333,0,0
pentanal ,CCCCC=O,1.3944,1.3917,0,0.45,36.62,10,0,0
n-pentane ,CCCCC,1.3575,1.3547,0,0,22.3,1.8371,0,0
pentanoic acid ,CCCCC(=O)O,1.4085,1.406,0.6,0.45,38.4,2.6924,0,0
pentyl ethanoate ,CCCCCOC(=O)C,1.4023,,0,0.45,36.23,4.7297,0,0
pentylamine ,CCCCCN,1.448,1.4093,0.16,0.61,35.54,4.201,0,0
perfluorobenzene ,c1(c(c(c(c(c1F)F)F)F)F)F,1.3777,1.3761,0,0,31.74,2.029,0.5,0.5
propanal ,CCC=O,1.3636,1.3593,0,0.45,32.48,18.5,0,0
propanoic acid ,CCC(=O)O,1.3869,1.3848,0.6,0.45,37.71,3.44,0,0
propanonitrile ,CCC#N,1.3655,1.3633,0.02,0.36,38.5,29.324,0,0
propyl ethanoate ,CCCOC(=O)C,1.3842,1.3822,0,0.45,34.26,5.5205,0,0
propylamine ,CCCN,1.387,1.3851,0.16,0.61,31.31,4.9912,0,0
pyridine ,c1ccncc1,1.5095,1.5073,0,0.52,52.62,12.978,0.833,0
tetrachloroethene ,C(=C(Cl)Cl)(Cl)Cl,1.5053,1.5055,0,0,45.19,2.268,0,0.667
tetrahydrofuran ,C1CCOC1,1.405,1.4044,0,0.48,39.44,7.4257,0,0
"tetrahydrothiophene-S,S-dioxide ",C1CCS(=O)(=O)C1,1.4833,,0,0.88,87.49,43.962,0,0
tetralin ,c1ccc2c(c1)CCCC2,1.5413,1.5392,0,0.19,47.74,2.771,0.6,0
